SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.04,0.01,2.0,0.6,0.25,0.3,0.08,10.260677454775799,0.14587607802415054,-0.0029349977297528085,0.00034257771618939614,20.886046163745377,False,0.04587607802415053,0.6834323406219482,388.6071514075524,0
1,0.12110696327438439,0.017425102598745072,2.1769240141401913,2.3002012066587527,0.22577855777751138,1.9828729200909232,0.3960666499562783,14.520713088777317,0.2060921473536717,-0.026397996289446723,-0.0005755332909878064,20.28120903402439,False,0.1060921473536717,56.47527074813843,123.97091770965811,75
2,-0.06268187002210837,-0.1605375421373301,3.5447049134970197,9.999999999835069,0.00946273397394648,9.999999999833738,3.0317535030180847,inf,inf,inf,inf,inf,False,inf,111.99196076393127,0.0,151
3,-10.0,-10.0,10.0,10.0,-10.0,10.0,10.0,inf,inf,inf,inf,inf,False,inf,167.52774500846863,0.0,227
4,-0.31446472193224506,-0.3252900439817522,-7.563355356795764,10.0,1.4539710527509588,9.91969227548251,5.507749538504069,inf,inf,inf,inf,inf,False,inf,231.36248874664307,0.0,317
5,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,inf,inf,inf,inf,inf,False,inf,291.5107386112213,0.0,400
6,10.0,10.0,-10.0,10.0,-10.0,10.0,-10.0,inf,inf,inf,inf,inf,False,inf,381.5805518627167,0.0,532
7,1.9770207970169236,-0.9142836329104614,7.150722279396424,-10.0,9.997880039688436,-8.317468742835453,10.0,inf,inf,inf,inf,inf,False,inf,472.50849533081055,inf,664
8,-9.244298859408556,-0.757352562851516,5.113155400787884,-3.952987509645352,8.40704960833022,-10.0,10.0,inf,inf,inf,inf,inf,False,inf,532.467042684555,0.0,747
9,-0.018931135262994433,0.002920465471101694,0.4199556095445429,1.5789331639171817,0.030828920522095377,1.2953877456176277,0.5072093167509166,inf,inf,inf,inf,inf,False,inf,604.9770312309265,inf,851
10,-0.5843306580470682,-0.04115159153687361,-8.346956435722328,0.8036468959456416,-0.1790503873110223,4.803501334788757,1.5328431093699628,inf,inf,inf,inf,inf,False,inf,669.1322062015533,0.0,941
