SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.04,0.01,2.0,0.6,0.25,0.3,0.08,10.260548693829602,0.14587362566487058,-0.002956414558937581,0.00033652147243046215,20.886046306570076,False,0.045873625664870576,2.383035898208618,388.30758122256907,0
1,-0.31868426408791667,-0.022052908361777097,0.3279514765469522,0.5582034306119088,-1.5791055356320962,-0.2744744366846312,0.7990099086691717,inf,inf,inf,inf,inf,False,inf,203.79626417160034,0.0,75
2,0.009623486548314467,0.0006357231140574106,-1.5098464903460616,3.849978383362911,-3.256709335255205,0.19455975676052376,0.8170379268626151,inf,inf,inf,inf,inf,False,inf,433.0093994140625,0.0,158
3,0.0913899320112164,0.014000447332423668,1.5908453427830787,2.424338428699511,0.12370895937484713,0.41764894452592555,0.16027206304042413,12.870347095172013,0.18618455135274298,-0.016323014039656414,0.0005697796914816422,21.039399550068286,False,0.08618455135274297,632.1187295913696,47.15288149505751,227
4,0.12911462334518403,0.008348839356185253,-5.233202157700392,10.0,-5.514623186885776,0.9099210982811976,1.7230244382960216,inf,inf,inf,inf,inf,False,inf,841.3358166217804,0.0,303
5,-0.1990094437404896,-0.09030715533930965,-9.856385264910786,-9.469865274555747,4.667862528719424,9.99426390431381,3.43636072424522,inf,inf,inf,inf,inf,False,inf,1034.315661907196,0.0,372
6,-0.5847370923255942,-0.3212572977328259,0.3007603747763401,1.4343991725357648,-1.2722699846927323,10.0,-10.0,inf,inf,inf,inf,inf,False,inf,1243.6068770885468,inf,448
7,0.08754867139750824,-0.021659058630567336,1.564892847373812,2.098898903690811,-1.5718665340435836,-0.3225676432420067,1.3867071759567486,inf,inf,inf,inf,inf,False,inf,1469.8918325901031,0.0,531
8,0.09896238166966045,-0.003021335732194529,7.83808056256186,3.5367068526799095,-9.999999995181499,0.7873531084704066,4.7967749162789675,inf,inf,inf,inf,inf,False,inf,1679.0707111358643,0.0,607
9,0.08681799384605167,0.005488438916656688,3.7838464621697474,2.6128220230613426,-10.0,0.7878922929279253,2.645273526386461,inf,inf,inf,inf,inf,False,inf,1887.6504480838776,inf,683
