h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,3.1833812458368484,4.602946229570978,0.17244817526638823,1.7244817526638823,-7.09782491867065
0.01,3.030477951707973,2.991597101680183,0.01954488113751296,1.954488113751296,1.944042501389509
0.001,3.0129050278263794,3.0087135742419124,0.0019719572559191434,1.9719572559191434,2.0957267922334655
0.0001,3.010887908331308,3.010621009350744,-4.516223915240758e-05,-0.4516223915240758,1.3344949028182285
1e-05,3.010749056657265,3.010731399342728,-0.0001840139131950025,-18.40139131950025,0.8828657268589167
1e-06,3.0109148271766895,3.010951286335971,-1.8243393770767113e-05,-18.243393770767113,-18.22957964070504
1e-07,3.0109312471729397,3.010934893640069,-1.8233975205284025e-06,-18.233975205284025,-18.232335645684827
1e-08,3.010932888248388,3.0109332528927055,-1.8232207210644447e-07,-18.232207210644447,-18.23221587038404
1e-09,3.0109330523368967,3.0109330887992134,-1.823356354790917e-08,-18.23356354790917,-18.231158360748623
1e-10,3.0109330687460636,3.0109330723949643,-1.8243966337649908e-09,-18.24396633764991,-18.244503685593827
1e-11,3.0109330703900135,3.010933070750943,-1.8044676863837594e-10,-18.044676863837594,-18.046475425137487
1e-12,3.010933070556439,3.0109330706066575,-1.4021228622596027e-11,-14.021228622596027,-25.10924801413239
1e-13,3.0109330705705974,3.0109330705704305,1.3722356584366935e-13,1.3722356584366935,0.8348877145181177
1e-14,3.010933076176279,3.0109330705754602,5.605818920173533e-09,560581.8920173533,280040.9459879916
1e-15,3.0109330705704545,3.0109330705704362,-5.773159728050814e-15,-5.773159728050813,9.103828801926284
1e-16,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-17,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
