h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,3.0057393167854074,3.0161979761665445,-0.005193753785052824,-0.05193753785052824,-0.052293296905685516
0.01,3.010524997405547,3.0112091620830124,-0.00040807316491342505,-0.040807316491342505,-0.03420823387327854
0.001,3.0107661173219173,3.0110988161533787,-0.00016695324854287819,-0.16695324854287819,-0.16634941573068218
0.0001,3.0109164358899982,3.0109496987835884,-1.663468046197991e-05,-0.16634680461979912,-0.166314467950901
1e-05,3.0109314070894366,3.0109347339386083,-1.663481023594926e-06,-0.1663481023594926,-0.16634245858515584
1e-06,3.0109329042287865,3.0109332369123294,-1.6634167376849973e-07,-0.16634167376849973,-0.1663417714681259
1e-07,3.010933053935231,3.010933092806792,-1.6635229194150725e-08,-0.16635229194150725,-0.19435780540533187
1e-08,3.0109330689065907,3.010933077835355,-1.6638694866344395e-09,-0.16638694866344395,-0.4464382197255645
1e-09,3.0109330704066877,3.0109330707344357,-1.6377255107613564e-10,-0.16377255107613564,-0.16387402546058638
1e-10,3.0109330705576327,3.0109330705883477,-1.2827516826519059e-11,-0.1282751682651906,-0.15357493055034865
1e-11,3.0109330705702693,3.01093307057083,-1.9095836023552692e-13,-0.019095836023552692,-0.028044233602031454
1e-12,3.0109330705704185,3.0109330705704362,-4.1744385725905886e-14,-0.041744385725905886,-0.008881784197001252
1e-13,3.0109330705704545,3.010933070570472,-5.773159728050814e-15,-0.05773159728050814,-0.08881784197001252
1e-14,3.0109330705704664,3.0109330705704545,6.217248937900877e-15,0.6217248937900877,0.5995204332975845
1e-15,3.0109330761712108,3.010933070575472,5.600750530021514e-09,5600750.530021514,2797869.269599573
1e-16,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-17,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
