h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,3.0119024166100505,3.016203099144893,0.0009693460395903131,0.00969346039590313,-0.021503412674213074
0.01,3.0104603969368826,3.011028126676931,-0.00047267363357761383,-0.04726736335776138,-0.02838648700242974
0.001,3.010846073116222,3.0105494049090544,-8.69974542383467e-05,-0.0869974542383467,0.1483341035837249
0.0001,3.0106356408782697,3.0106773939887077,-0.0002974296921904873,-2.974296921904873,-0.20876555218984905
1e-05,3.0109703543941793,3.010895665624628,3.728382371903649e-05,3.7283823719036486,3.734438477565049
1e-06,3.010936804322697,3.010929341104651,3.73375223672312e-06,3.73375223672312,3.7316090228944887
1e-07,3.0109334440035562,3.0109327027258113,3.7343309600146313e-07,3.7343309600146313,3.706388724822318
1e-08,3.0109331079203097,3.0109330332489077,3.734984943548625e-08,3.734984943548625,3.733570097530503
1e-09,3.0109330743034217,3.010933072443196,3.732961495472864e-09,3.7329614954728636,0.9301128756078468
1e-10,3.010933070943919,3.01093307580302,3.7345859738024956e-10,3.7345859738024956,-24.295505607341283
1e-11,3.0109330706093145,3.010933070531612,3.885425314820168e-11,3.8854253148201683,3.8851144523732732
1e-12,3.0109330705754127,3.010933070565705,4.952482868247898e-12,4.952482868247898,4.853895063661184
1e-13,3.0109330705704602,3.0109330705705677,0.0,0.0,-0.5373479439185758
1e-14,3.0109330761712227,3.0109330705704305,5.60076252043018e-09,560076.252043018,280039.613720362
1e-15,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-16,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-17,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
