h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,3.011894940389008,3.0094014697643425,0.0009618698185476227,0.009618698185476227,0.012467353123326586
0.01,3.0110970078940533,3.0105314283264546,0.00016393732359309965,0.016393732359309965,0.028278978379936426
0.001,3.011091189842893,3.0107727281289973,0.00015811927243269963,0.15811927243269963,0.1592308569478007
0.0001,3.0109489807533323,3.01091713816367,1.5910182872058698e-05,0.15910182872058698,0.15921294831189314
1e-05,3.010934662591293,3.0109314783339,1.5920208329411878e-06,0.15920208329411878,0.15921286966591452
1e-06,3.0109332297826747,3.0109329169589847,1.592122145233077e-07,0.1592122145233077,0.15641184503145666
1e-07,3.0109330920934316,3.0109330546538913,2.152297140511905e-08,0.2152297140511905,0.18719770178421413
1e-08,3.0109330777801597,3.0109330689823217,7.2096995040737966e-09,0.7209699504073797,0.43989190068316475
1e-09,3.0109330707288593,3.0109330704122104,1.5839907163694988e-10,0.15839907163694988,0.15832446464969507
1e-10,3.01093307059086,3.010933070560192,2.0399681943672476e-11,0.20399681943672476,0.15333956326912812
1e-11,3.0109330705705615,3.0109330761712823,1.0125233984581428e-13,0.010125233984581428,-280.0360388022227
1e-12,3.0109330705754425,3.0109330705704664,4.9822368453078525e-12,4.9822368453078525,2.488009798184976
1e-13,3.0109330705704664,3.0109330705704545,6.217248937900877e-15,0.062172489379008766,0.05995204332975845
1e-14,3.0109330705754602,3.0109330705704247,5.000000413701855e-12,500.0000413701855,251.776377524493
1e-15,3.0109330705754545,3.0109330761762196,4.994227253973804e-12,4994.227253973804,-2800382.5924827196
1e-16,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-17,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
