h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,inf,inf,inf,nan,nan
0.01,3.6601848945444413,4.1889007459780165,0.6492518239739811,64.9251823973981,-26.43579257167876
0.001,2.989214579653986,3.0389492838410628,-0.021718490916474043,-21.718490916474043,-24.867352093538297
0.0001,3.0086377632270005,3.013091787686945,-0.0022953073434597293,-22.953073434597293,-22.27012229972347
1e-05,3.0103960614318037,3.010866502627964,-0.0005370091386565079,-53.70091386565078,-23.52205980802324
1e-06,3.010946054895886,3.0109200139803773,1.2984325425957621e-05,12.984325425957621,13.020457754420178
1e-07,3.0109343781020685,3.0109317678666168,1.3075316083188682e-06,13.075316083188682,13.051177258915914
1e-08,3.010933200802759,3.010932940338042,1.3023229872288766e-07,13.023229872288766,13.023235845288639
1e-09,3.0109330835957393,3.0109330575453823,1.3025279077538698e-08,13.025279077538698,13.025178491332667
1e-10,3.0109330718770453,3.0109330692690364,1.306585062366139e-09,13.06585062366139,13.040044599677003
1e-11,3.010933070705256,3.010933076041722,1.3479573013341906e-10,13.479573013341906,-266.8232967906192
1e-12,3.0109330705839517,3.010933070557082,1.3491430195244902e-11,13.491430195244902,13.43480882098902
1e-13,3.010933070574315,3.0109330705716895,3.8546943414985435e-12,38.546943414985435,13.127277043167851
1e-14,3.0109330705753767,3.0109330705706334,4.916511642250043e-12,491.6511642250043,237.16584252042594
1e-15,3.0109330761862463,3.0109330705704664,5.615786058399408e-09,5615786.058399407,2807889.9205752346
1e-16,3.0109330705754602,3.0109330705704545,5.000000413701855e-12,50000.00413701855,25028.86786714953
1e-17,3.0109330705754602,3.010933070575472,5.000000413701855e-12,500000.04137018544,-599.5204332975845
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
