h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,3.225921733531974,4.629379250075569,0.21498866296151364,2.1498866296151364,-7.017287582717977
0.01,3.03261179701091,2.9908460479096064,0.021678726440449658,2.167872644044966,2.088287455065174
0.001,3.0130941841485397,3.008515778303424,0.0021611135780794655,2.1611135780794655,2.2892029225578536
0.0001,3.0112512016595234,3.0103675193561767,0.00031813108906320053,3.1813108906320053,4.418411516733389
1e-05,3.0107790721569523,3.0104912397747903,-0.00015399841350793864,-15.399841350793862,14.391619108100604
1e-06,3.010917785065619,3.010948337844481,-1.5285504841422437e-05,-15.285504841422437,-15.276389430995962
1e-07,3.010931542536151,3.0109345983690172,-1.5280343093060367e-06,-15.280343093060367,-15.27916433152754
1e-08,3.0109329177784736,3.0109332233627493,-1.5279198661843907e-07,-15.279198661843907,-15.279213783081502
1e-09,3.010933055290348,3.0109330914519674,-1.528011228657533e-08,-15.28011228657533,-18.080809738307835
1e-10,3.0109330690460134,3.0109330777008494,-1.5244467910235926e-09,-15.244467910235926,-43.27417979510528
1e-11,3.0109330704199895,3.0109330707209314,-1.5047074697349672e-10,-15.047074697349673,-15.047096901810166
1e-12,3.0109330705565225,3.010933070589583,-1.3937739851144215e-11,-13.937739851144215,-16.53033265824888
1e-13,3.0109330705706157,3.0109330705704425,1.5543122344752192e-13,1.5543122344752192,0.8659739592076221
1e-14,3.010933070570496,3.0109330705704545,3.597122599785507e-14,3.597122599785507,2.0872192862952943
1e-15,3.010933070570484,3.0109330705704425,2.398081733190338e-14,23.980817331903378,20.872192862952943
1e-16,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-17,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-18,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-19,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-20,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-21,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
1e-22,3.0109330705704602,3.0109330705704602,0.0,0.0,0.0
