h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.08484121050266502,0.08622232243098675,-0.0006836724192126054,-0.0068367241921260535,-0.006905559641608647
0.01,0.08545590835171832,0.08559398240343816,-6.897457015930808e-05,-0.006897457015930808,-0.006903702585991933
0.001,0.08551796469437299,0.08553180536297898,-6.9182275046347774e-06,-0.006918227504634777,-0.0069203343029955455
0.0001,0.0855241973143172,0.08552557651884461,-6.856075604327883e-07,-0.0068560756043278825,-0.00689602263709288
1e-05,0.08552481355455999,0.08552495228786279,-6.936731763995674e-08,-0.006936731763995673,-0.006936665140205855
1e-06,0.08552487598520857,0.08552488985856516,-6.936669058599243e-09,-0.006936669058599243,-0.006936678294267029
1e-07,0.0855248822282157,0.08552489100274477,-6.93661919570765e-10,-0.0069366191957076495,-0.04387264530836266
1e-08,0.08552488285254711,0.08552489037913388,-6.933051355240138e-11,-0.0069330513552401385,-0.3763293385250499
1e-09,0.08552488291496974,0.08552488292881677,-6.907890925944571e-12,-0.006907890925944571,-0.00692351731501617
1e-10,0.08552488292119137,0.08552488292256669,-6.862566070964249e-13,-0.006862566070964249,-0.0068765826366501415
1e-11,0.08552488292183642,0.08552488292197141,-4.120315200140112e-14,-0.004120315200140112,-0.006749462100330561
1e-12,0.08552488292187337,0.08552488292188332,-4.260480856999038e-15,-0.004260480856999038,-0.004975186929101483
1e-13,0.08552488292188758,0.0855248829218805,9.950373858202965e-15,0.09950373858202965,0.035388358909926865
1e-14,0.08552488292187621,0.0855248829218819,-1.4155343563970746e-15,-0.14155343563970746,-0.28449465006019636
1e-15,0.08552489030981758,0.08552488292187906,7.3879399542509105e-09,7387939.95425091,3693969.262419383
1e-16,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-17,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-18,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-19,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-20,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-21,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-22,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
