h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,inf,inf,inf,nan,nan
0.01,-0.23863691980043697,inf,-0.3241618027223146,-32.41618027223146,-32.41618027223146
0.001,0.057512318219468235,0.09984002931662754,-0.02801256470240939,-28.012564702409392,-21.16385554857965
0.0001,0.0827935998741793,0.0882454371870323,-0.0027312830476983324,-27.312830476983322,-27.25918656426504
1e-05,0.08525224753085765,0.08579741085345886,-0.0002726353910199736,-27.263539101997356,-27.258166130060545
1e-06,0.08549763498280441,0.08555213498552161,-2.72479390732161e-05,-27.2479390732161,-27.25000135860023
1e-07,0.08552215910163448,0.08552761055546683,-2.7238202431473235e-06,-27.238202431473237,-27.257269161751196
1e-08,0.08552461355397654,0.08552516271866004,-2.693679010817851e-07,-26.93679010817851,-27.4582341745766
1e-09,0.08552485568416161,0.08552491015962069,-2.723771601320646e-08,-27.23771601320646,-27.237729537110678
1e-10,0.0855248801981501,0.08552489303392602,-2.723727521303232e-09,-27.23727521303232,-64.17887957188562
1e-11,0.08552488264950203,0.08552488319426173,-2.7237559430126623e-10,-27.237559430126623,-27.237984784322933
1e-12,0.08552488289466986,0.08552488294912954,-2.7207763819703246e-11,-27.207763819703246,-27.229836441211575
1e-13,0.08552488291914322,0.08552488292461209,-2.7344099207127215e-12,-27.344099207127215,-27.34437676288337
1e-14,0.08552488292162762,0.08552488292216455,-2.5000834735777744e-13,-25.000834735777744,-26.846580514217067
1e-15,0.08552488292185632,0.08552488292190746,-2.130240428499519e-14,-21.30240428499519,-25.569824035898133
1e-16,0.08552488292187337,0.08552489030981757,-4.260480856999038e-15,-42.60480856999038,-36939721.0042699
1e-17,0.08552488292187621,0.08552488292187763,-1.4155343563970746e-15,-141.55343563970746,-70.77671781985373
1e-18,0.08552488292187763,0.0855248829218748,0.0,0.0,1415.5343563970746
1e-19,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-20,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-21,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-22,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
