h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.08968615098294852,0.05905306883870851,0.004161268061070894,0.04161268061070894,0.15316541072120002
0.01,0.08755171009064358,0.08317581255357813,0.0020268271687659545,0.20268271687659545,0.21879487685327256
0.001,0.0857452941129989,0.08530222274406347,0.00022041119112127527,0.22041119112127527,0.22153568446771355
0.0001,0.08554703373646681,0.08550271490405824,2.215081458918633e-05,0.2215081458918633,0.22159416204287075
1e-05,0.08552709159204838,0.08552267482061858,2.2086701707557665e-06,0.22086701707557663,0.2208385714901062
1e-06,0.08552510838615127,0.08552466565893796,2.2546427363989707e-07,0.22546427363989707,0.22136360665336863
1e-07,0.08552490463498791,0.08552486120638453,2.1713110281984527e-08,0.21713110281984527,0.21714301690067828
1e-08,0.08552488509332622,0.08552488075044601,2.171448590382319e-09,0.21714485903823189,0.21714401041150744
1e-09,0.08552488313903817,0.08552489009165104,2.1716053955067594e-10,0.21716053955067594,-3.476306437155685
1e-10,0.0855248829436154,0.08552489028802293,2.1737778244101946e-11,0.21737778244101946,-36.72203763294135
1e-11,0.08552488292404156,0.08552488291969378,2.1639356972968926e-12,0.21639356972968926,0.21738930100489995
1e-12,0.08552488292211066,0.08552488292167731,2.3303581286882036e-13,0.23303581286882036,0.2166739010434071
1e-13,0.08552488292193447,0.0855248829218549,5.684341886080802e-14,0.5684341886080801,0.3978761764500405
1e-14,0.0855248829218876,0.08552488292188047,9.978129433818594e-15,0.9978129433818594,0.35665914666083154
1e-15,0.08552488292189042,0.08552488292187337,1.2795320358804929e-14,12.795320358804927,8.527900607901984
1e-16,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-17,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-18,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-19,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-20,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-21,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
1e-22,0.08552488292187763,0.08552488292187763,0.0,0.0,0.0
