h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0010039214577576274,0.0010044707083048934,-2.6050599188920387e-07,-2.6050599188920387e-06,-2.7462527363297795e-06
0.01,0.00100415466791992,0.0010042095436718626,-2.7295829596596377e-08,-2.7295829596596377e-06,-2.743787597125902e-06
0.001,0.0010041792214062753,0.0010041847089313763,-2.7423432413797855e-09,-2.7423432413797855e-06,-2.7437625504944663e-06
0.0001,0.0010041817251705823,0.001004182238139805,-2.3857893438616884e-10,-2.3857893438616884e-06,-2.5648461132732336e-06
1e-05,0.0010041819363083562,0.0010041819911835717,-2.744116045505507e-11,-2.7441160455055065e-06,-2.7437607741376264e-06
1e-06,0.0010041819610103744,0.001004181966488659,-2.7391422463551862e-12,-2.7391422463551862e-06,-2.7391422463551862e-06
1e-07,0.0010041819634688523,0.0010041819998131132,-2.8066438062523957e-13,-2.8066438062523957e-06,-0.00018172130467064562
1e-08,0.0010041819637246477,0.0010041819995608705,-2.4868995751603507e-14,-2.4868995751603507e-06,-0.0017918111439030326
1e-09,0.0010041819637495166,0.0010041819637530694,0.0,0.0,-1.7763568394002503e-06
1e-10,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-11,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-12,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-13,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-14,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-15,0.0010041819995324488,0.0010041819637495166,3.5782932172878645e-11,35782.932172878645,17891.466086439323
1e-16,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-17,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-18,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-19,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-20,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-21,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-22,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
