h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0010033169499218389,0.0010051470435451506,-8.650138276777852e-07,-8.650138276777852e-06,-9.150468116558841e-06
0.01,0.001004090808445767,0.0010042742594956735,-9.115530374970149e-08,-9.115530374970149e-06,-9.172552495329e-06
0.001,0.0010041727946964443,0.0010041911465586964,-9.169053072355382e-09,-9.169053072355382e-06,-9.17593112603754e-06
0.0001,0.0010041810462541037,0.00100418288137638,-9.17495412977587e-10,-9.17495412977587e-06,-9.175611381806448e-06
1e-05,0.0010041819077694072,0.0010041820912919377,-5.598010943685949e-11,-5.5980109436859485e-06,-9.176126525289874e-06
1e-06,0.0010041819545728572,0.0010041820087091083,-9.176659432341694e-12,-9.176659432341694e-06,-2.7068125518781017e-05
1e-07,0.0010041819628329165,0.0010041820004526017,-9.166001291305292e-13,-9.166001291305292e-06,-0.00018809842572409252
1e-08,0.0010041819636642515,0.001004181963980443,-8.526512829121202e-14,-8.526512829121202e-06,-1.580957587066223e-05
1e-09,0.0010041819637424112,0.0010041819995466597,-7.105427357601002e-15,-7.105427357601001e-06,-0.017902124227475724
1e-10,0.0010041819637495166,0.0010041819995360015,0.0,0.0,-0.17893242443278723
1e-11,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-12,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-13,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-14,0.0010041819995360015,0.0010041819637495166,3.5786484886557446e-11,3578.6484886557446,1789.3242443278723
1e-15,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-16,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-17,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-18,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-19,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-20,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-21,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-22,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
