h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,inf,inf,inf,nan,nan
0.01,0.0019500542850133798,0.0024234275112841033,-0.0005438558900152657,-0.05438558900152657,-0.023668661313536177
0.001,0.0024557494169764596,0.00252653462269825,-3.8160758052185884e-05,-0.038160758052185884,-0.035392602860895295
0.0001,0.002490332377883874,0.002497432739185456,-3.5777971447714663e-06,-0.03577797144771466,-0.03550180650790935
1e-05,0.0024935548739032356,0.002494278013851158,-3.553011254098237e-07,-0.03553011254098237,-0.03615699739611955
1e-06,0.0024938746697907846,0.002493958760349301,-3.550523786088888e-08,-0.03550523786088888,-0.042045279258218216
1e-07,0.002493919709574243,0.0024939137252554247,9.534545597489341e-09,0.09534545597489341,0.029921594091320003
1e-08,0.0024939098199704404,0.0024939105300868505,-3.5505820505932206e-10,-0.035505820505932206,-0.035505820505932206
1e-09,0.0024939101395299304,0.002493910210584204,-3.5498715078574605e-11,-0.035498715078574605,-0.03552713678800501
1e-10,0.00249391017144751,0.002493910178695046,-3.581135388230905e-12,-0.03581135388230905,-0.03623767952376511
1e-11,0.002493910174687585,0.0024939232602557695,-3.410605131648481e-13,-0.03410605131648481,-654.2784092289367
1e-12,0.002493910174957591,0.002493910175057067,-7.105427357601002e-14,-0.07105427357601002,-0.04973799150320701
1e-13,0.0024939101750286454,0.0024939101750144346,0.0,0.0,0.07105427357601002
1e-14,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-15,0.0024939232886490572,0.0024939101750286454,1.3113620411786542e-08,13113620.411786541,6556810.205893271
1e-16,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-17,0.0024939101750286454,0.0024939101750428563,0.0,0.0,-710.5427357601002
1e-18,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-19,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-20,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-21,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-22,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
