h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,-0.0005177440405977904,-0.00046447231166746403,-2.383386556914502e-05,-0.00023833865569145019,-0.00026635864465163195
0.01,-0.0004965228326389024,-0.0004912417461374616,-2.6126576102569743e-06,-0.00026126576102569743,-0.0002640543250720384
0.001,-0.0004941739268010678,-0.000493645865522808,-2.637517724224381e-07,-0.0002637517724224381,-0.00026403063912994185
0.0001,-0.0004939496603858515,-0.0004938837691857998,-3.94853572061038e-08,-0.000394853572061038,-0.0003294560002586877
1e-05,-0.0004939128154054515,-0.0004939075348223696,-2.6403768060845323e-09,-0.00026403768060845323,-0.0002640291540956241
1e-06,-0.0004939104389952717,-0.0004939099110478082,-2.639666263348772e-10,-0.0002639666263348772,-0.0002639737317622348
1e-07,-0.0004939102014324135,-0.0004939232334256758,-2.6403768060845323e-11,-0.00026403768060845323,0.06515996631151211
1e-08,-0.0004939101776718644,-0.00049392325727149,-2.6432189770275727e-12,-0.00026432189770275727,0.6539799812799174
1e-09,-0.0004939101752986516,-0.0004939101747444283,-2.7000623958883807e-13,-0.00027000623958883807,-0.00027711166694643907
1e-10,-0.0004939101750428563,-0.0004939101749860128,-1.4210854715202004e-14,-0.00014210854715202004,-0.0002842170943040401
1e-11,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-12,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-13,-0.0004939101750286454,-0.0004939101750428563,0.0,0.0,0.07105427357601002
1e-14,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-15,-0.0004939232599289198,-0.0004939101750286454,-1.3084900274407119e-08,-13084900.274407117,-6542450.137203558
1e-16,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-17,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-18,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-19,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-20,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-21,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
1e-22,-0.0004939101750286454,-0.0004939101750286454,0.0,0.0,0.0
