h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,1.7680220425812863,1.2986267132565175,0.09962864373740388,0.9962864373740388,2.346976646623844
0.01,1.6819116639412286,1.6531959844480042,0.013518265097346216,1.3518265097346216,1.43578397466122
0.001,1.6697885335519338,1.6669717805788267,0.0013951347080514154,1.3951347080514154,1.4083764865535642
0.0001,1.6685339145601645,1.668252235681578,0.00014051571628215243,1.4051571628215243,1.4083943929321663
1e-05,1.6684072994981811,1.668379120782859,1.3900654298737436e-05,1.3900654298737434,1.4089357661006827
1e-06,1.668394817060424,1.6683919635091868,1.4182165415377312e-06,1.4182165415377312,1.4267756185404323
1e-07,1.6683935424710299,1.668393255233834,1.4362714750859595e-07,1.4362714750859595,1.4361859790312792
1e-08,1.6683934132058482,1.6683933844821297,1.4361965838816104e-08,1.4361965838816104,1.436185925740574
1e-09,1.6683934002800989,1.6683933974077227,1.4362164790782117e-09,1.4362164790782117,1.4361880573687813
1e-10,1.668393398987515,1.6683933987002924,1.4363266132022545e-10,1.4363266132022545,1.4361134503815265
1e-11,1.6683933988582744,1.6683933988295436,1.439204311282083e-11,1.439204311282083,1.4365397760229826
1e-12,1.6683933988453497,1.6683933988425004,1.4672707493446069e-12,1.4672707493446069,1.4246381851990009
1e-13,1.6683933988440494,1.6683933988437687,1.6697754290362354e-13,1.6697754290362354,1.4033219031261979
1e-14,1.6683933988439001,1.6683933988438753,1.7763568394002505e-14,1.7763568394002505,1.2434497875801753
1e-15,1.6683933988438824,1.6683933988438753,0.0,0.0,3.5527136788005005
1e-16,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-17,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-18,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-19,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-20,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-21,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-22,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
