h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,1.6654259704297338,1.6719513627592875,-0.002967428414148543,-0.02967428414148543,-0.03262696164776813
0.01,1.668071372206608,1.6687210438407263,-0.0003220266372743197,-0.03220266372743197,-0.032483581705911035
0.001,1.6683608788667605,1.6684258050481482,-3.251997712183652e-05,-0.03251997712183652,-0.032463090693823915
0.0001,1.6683901631438722,1.6683966354426865,-3.2357000101512767e-06,-0.03235700010151277,-0.03236149407115363
1e-05,1.6683930752334177,1.668393722463339,-3.2361046464757237e-07,-0.03236104646475724,-0.03236149606067329
1e-06,1.6683933664824302,1.6683934312054447,-3.2361452184659356e-08,-0.032361452184659356,-0.03236150725172138
1e-07,1.6683933956077297,1.668393402080035,-3.236152679164661e-09,-0.03236152679164661,-0.03236152679164661
1e-08,1.6683933985203119,1.6683933991674955,-3.235705037241132e-10,-0.03235705037241132,-0.0323591820006186
1e-09,1.6683933988115633,1.6683933988762867,-3.231903633604816e-11,-0.03231903633604816,-0.03236166890019376
1e-10,1.668393398840685,1.6683933988471509,-3.197442310920451e-12,-0.03197442310920451,-0.03232969447708456
1e-11,1.6683933988435804,1.6683933988442377,-3.019806626980426e-13,-0.03019806626980426,-0.032862601528904634
1e-12,1.6683933988438469,1.6683933988439037,-3.552713678800501e-14,-0.03552713678800501,-0.028421709430404007
1e-13,1.6683933988438717,1.6683933988438788,-1.0658141036401503e-14,-0.10658141036401503,-0.03552713678800501
1e-14,1.668393398843886,1.6683933988438753,3.552713678800501e-15,0.3552713678800501,0.5329070518200751
1e-15,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-16,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-17,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-18,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-19,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-20,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-21,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-22,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
