h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,1.6539642943824902,1.6800086121779785,-0.014429104461392228,-0.14429104461392228,-0.13022158897744163
0.01,1.667156979175573,1.6695769953556656,-0.001236419668309452,-0.1236419668309452,-0.12100080900463439
0.001,1.6682724438153826,1.668513171552295,-0.00012095502849973627,-0.12095502849973627,-0.12036386845615255
0.0001,1.6683811349681257,1.6684052082279415,-1.2263875756701736e-05,-0.12263875756701736,-0.12036629907896668
1e-05,1.668392141236687,1.668394583516264,-1.2576071952707935e-06,-0.12576071952707935,-0.12211397883987728
1e-06,1.6683932727602837,1.6683935249995407,-1.2608359867272156e-07,-0.12608359867272156,-0.12611962851849512
1e-07,1.6683933862323244,1.6683934114562469,-1.2611558020125813e-08,-0.12611558020125813,-0.12611961253128356
1e-08,1.6683933975827152,1.668393400105117,-1.2611671706963534e-09,-0.12611671706963534,-0.1261200921476302
1e-09,1.6683933987177895,1.6683933989700321,-1.2609291388798738e-10,-0.12609291388798738,-0.12612133559741778
1e-10,1.6683933988312951,1.6683933988565265,-1.2587264563990175e-11,-0.12587264563990175,-0.1261568627342058
1e-11,1.6683933988426318,1.6683933988451543,-1.2505552149377763e-12,-0.12505552149377763,-0.12612133559741778
1e-12,1.6683933988437971,1.6683933988440742,-8.526512829121202e-14,-0.08526512829121202,-0.13855583347321954
1e-13,1.668393398843886,1.6683933988439108,3.552713678800501e-15,0.03552713678800501,-0.12434497875801753
1e-14,1.6683933988438824,1.6683933988438788,0.0,0.0,0.17763568394002505
1e-15,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-16,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-17,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-18,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-19,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-20,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-21,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-22,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
