h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,inf,inf,inf,nan,nan
0.01,1.6565446404288409,1.6991334508567064,-0.011848758415041516,-1.1848758415041516,-2.1294405213932777
0.001,1.666964289583074,1.6699528144871394,-0.0014291092608083034,-1.4291092608083034,-1.4942624520326575
0.0001,1.6682450109482083,1.6685427328669036,-0.00014838789567406252,-1.4838789567406252,-1.4886095934762977
1e-05,1.6683783216703887,1.668408091096623,-1.5077173493693863e-05,-1.507717349369386,-1.488471311716921
1e-06,1.6683918813724716,1.6683948941471414,-1.517471410750204e-06,-1.517471410750204,-1.5063873348708512
1e-07,1.6683932469960077,1.6683935507142706,-1.5184787471866912e-07,-1.5184787471866912,-1.518591314919604
1e-08,1.6683933836580813,1.6683934140299428,-1.5185801061079474e-08,-1.5185801061079474,-1.518593073512875
1e-09,1.668393397325307,1.6683934003625005,-1.518575487580165e-09,-1.518575487580165,-1.5185968038622377
1e-10,1.6683933986920394,1.668393398995761,-1.518429826319334e-10,-1.518429826319334,-1.5186074620032741
1e-11,1.6683933988287123,1.668393398859095,-1.517008740847814e-11,-1.517008740847814,-1.5191403690550942
1e-12,1.6683933988423938,1.6683933988454243,-1.4885870314174099e-12,-1.48858703141741,-1.5152323840084136
1e-13,1.6683933988437367,1.6683933988440423,-1.4566126083082054e-13,-1.4566126083082054,-1.5276668818842154
1e-14,1.6683933988438682,1.6683933988439072,-1.4210854715202004e-14,-1.4210854715202004,-1.9539925233402755
1e-15,1.6683933988438753,1.6683933988438824,-7.105427357601002e-15,-7.105427357601001,-3.5527136788005005
1e-16,1.6683933988438788,1.6683933988438824,-3.552713678800501e-15,-35.52713678800501,-17.763568394002505
1e-17,1.6683933988438788,1.6683933988438824,-3.552713678800501e-15,-355.2713678800501,-177.63568394002505
1e-18,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-19,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-20,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-21,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-22,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
