h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,1.7702255924132153,1.3156746851234224,0.10183219356933293,1.0183219356933293,2.2727545364489643
0.01,1.6819352062316248,1.6533928124370796,0.013541807387742466,1.3541807387742466,1.427119689727263
0.001,1.6697890017212345,1.6669755864450018,0.0013956028773520757,1.3956028773520757,1.4067076381163446
0.0001,1.6685337446896469,1.6682524010685533,0.00014034584576450015,1.4034584576450015,1.4067181054677746
1e-05,1.6684073096702612,1.668379154362075,1.3910826378804586e-05,1.3910826378804584,1.4077654093114231
1e-06,1.6683948202544059,1.6683919690592752,1.4214105235055285e-06,1.4214105235055285,1.4255975653298947
1e-07,1.6683935418886016,1.6683932558112673,1.4304471918080708e-07,1.4304471918080708,1.4303866713305524
1e-08,1.6683934131478573,1.66839338454011,1.4303974893437044e-08,1.4303974893437044,1.4303873641097198
1e-09,1.668393400274308,1.668393397413503,1.4304255557817669e-09,1.4304255557817669,1.4304024631428547
1e-10,1.6683933989869288,1.6683933987008501,1.4304646356322337e-10,1.4304646356322337,1.4303935813586577
1e-11,1.6683933988581927,1.6683933988295934,1.4310330698208418e-11,1.4310330698208418,1.4299672557172016
1e-12,1.6683933988453497,1.6683933988424684,1.4672707493446069e-12,1.4672707493446069,1.4406253967536031
1e-13,1.6683933988440458,1.6683933988437722,1.6342482922482304e-13,1.6342482922482304,1.3677947663381929
1e-14,1.6683933988439001,1.6683933988438753,1.7763568394002505e-14,1.7763568394002505,1.2434497875801753
1e-15,1.6683933988438824,1.6683933988438788,0.0,0.0,1.7763568394002502
1e-16,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-17,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-18,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-19,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-20,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-21,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
1e-22,1.6683933988438824,1.6683933988438824,0.0,0.0,0.0
