SLSQPiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,-0.5,0.5,0.5,22.316304646253112,0.01604509936420873,0.13455926525532635,False,0.13355926525532635,0.5926382541656494,3.4551301303437523,0
1,-0.4050264950608061,0.7596787337223256,0.4790856790188384,21.19065133167468,0.007975888200094863,0.05139268461404822,False,0.05039268461404822,17.09226655960083,5.375376995282274,26
2,-0.30071663915030084,1.0476324675901179,0.4414012685501013,19.43683644383675,0.0037718865901100068,0.019476019805448774,False,0.018476019805448773,29.85055112838745,7.034070281339021,45
3,-0.18435484918982503,1.3755051215056304,0.3812058479728087,17.16587423009353,0.001681626423531523,0.007199372007726912,False,0.006199372007726912,42.57203912734985,7.2693555842718975,64
4,-0.0512128468810652,1.771357130004513,0.28968804811278037,14.687674589034545,0.00068197966656292,0.002473972831505633,False,0.001473972831505633,55.75851392745972,6.057710239066682,83
5,0.12663612506943966,2.3254902530006376,0.14600155239021437,12.131668010440979,0.00022119120281634665,0.0006817413187473198,True,0.0,69.10358905792236,4.187047641012377,102
6,0.49621469631433623,3.4900537817751354,-0.1607898739616284,9.104552855272617,3.292876726009745e-05,8.265677669483384e-05,True,0.0,82.12887477874756,2.066828991793956,121
7,1.8759687602059723,7.879046761712665,-1.3293690677993262,5.5060706374587385,0.027935009678533868,1.1724350322817045e-06,True,0.0,94.6768159866333,0.34413543389367085,140
8,7.157650107487582,9.745927376329748,3.917839664636859,5.395853222787138,6.996924541689617e-08,1.1452042547599461e-07,True,0.0,107.27827143669128,0.44191477495792825,159
9,1.594756397965778,9.999999999999993,-3.0546752023083235,inf,1.0555798158122718,inf,False,inf,119.90172600746155,0.0,178
10,-0.6313414596562712,9.999999999999995,-5.7779301126562945,inf,inf,inf,False,inf,134.65088629722595,0.0,201
11,0.5002594079845908,9.999999999999998,-4.3926978313321605,inf,inf,inf,False,inf,149.25137186050415,0.0,224
12,0.6400483518192539,10.0,-4.2210925718849435,inf,inf,inf,False,inf,164.0324103832245,0.0,247
13,0.008229695583377605,9.999999999999998,-4.993490304304922,inf,inf,inf,False,inf,178.36748218536377,0.0,270
14,-1.6008021679642779,10.0,-6.961234974074768,inf,inf,inf,False,inf,193.11577463150024,0.0,293
15,-3.109053569205461,10.0,-8.805624821508982,inf,inf,inf,False,inf,208.17991828918457,0.0,316
16,3.159994679609296,10.0,-1.1375187362993104,4.843469326362209,1.9724630591770198e-07,3.538496704535987e-07,True,0.0,222.8036937713623,0.35166966013979617,339
17,3.1329645554014403,9.999999999999998,-1.1700490830608634,4.843439637927686,1.9796664801745262e-07,3.5526749708747474e-07,True,0.0,235.00976157188416,0.34958975946661563,358
18,3.1439347339320434,10.0,-1.1560422106553725,4.843341398597561,1.97609552621159e-07,3.545682059069577e-07,True,0.0,247.23931169509888,0.35047879252952036,377
19,3.1560699242392922,10.0,-1.1386915782004738,4.843140971089948,1.9706432313474203e-07,3.535076767979817e-07,True,0.0,259.5885684490204,0.35149435053300293,396
20,3.1792138423355114,9.999999999999996,-1.0997817016884464,4.842491932655245,1.9555525771265293e-07,3.505894612398919e-07,True,0.0,271.73653531074524,0.35349562916120647,415
21,3.2112680040602606,10.0,-1.0306842545185748,4.840930172551703,1.9225092596672284e-07,3.4423431338748145e-07,True,0.0,284.07710552215576,0.35632510648615906,434
22,3.2554130010313664,10.0,-0.8932674476009999,4.836977975496701,1.844107205687811e-07,3.2923867443468424e-07,True,0.0,296.34204363822937,0.360059011212908,453
23,3.310597527267931,10.0,-0.6009156265666722,4.827104491133493,1.6580841399631775e-07,2.939313068495153e-07,True,0.0,308.7185604572296,0.3633698107434928,472
24,3.3834767827585996,9.999999999999996,0.14457827032734338,4.799573703920605,1.1985739719430192e-07,2.081215138005632e-07,True,0.0,320.92842173576355,0.3625594380256029,491
25,3.610564965681614,10.0,3.29903959111705,4.676582914200555,1.2141347709044903e-08,1.862169995980878e-08,True,0.0,333.17172265052795,0.3569706689972983,510
26,3.9572229319028493,10.0,9.999999999999996,4.769884120878383,0.002994664073088875,-8.817183849707533e-08,True,0.0,345.55072927474976,0.349952138030787,529
27,3.5957951180121173,9.999999999999998,5.57102387674143,4.610535376410069,1.1582974610370981e-06,-1.708677643819101e-11,True,0.0,359.6675672531128,0.3512966833891091,552
28,2.9010436893874028,9.999999999999996,5.7613934038103025,4.470182072087087,6.674432981085247e-06,5.072919861959235e-11,True,0.0,371.9480583667755,0.3385950369356754,571
29,-0.6397139787610522,10.0,6.7151219163395135,3.7091720976049123,0.0003011848333844301,5.635492072997295e-13,True,0.0,384.28333473205566,0.283223053187818,590
30,-10.0,8.933160242139738,9.51058752696011,inf,3.828896015177136,inf,False,inf,396.5893268585205,inf,609
31,-10.0,8.931104165254606,8.850964216383527,inf,inf,inf,False,inf,410.6877326965332,0.0,632
32,-9.9999999823066,8.930281852576503,8.658086778342199,inf,inf,inf,False,inf,424.8553385734558,0.0,655
33,-10.0,8.92888090455319,8.576297687253684,inf,inf,inf,False,inf,438.9544084072113,0.0,678
34,-10.0,8.92840612427157,8.740689068672234,inf,inf,inf,False,inf,453.23572301864624,0.0,701
35,-10.0,8.94831420673075,10.0,inf,0.6466225349952092,inf,False,inf,467.776819229126,inf,724
36,-9.998961537519286,8.94777404005938,9.999548332134646,inf,0.6459357514896352,inf,False,inf,482.8416361808777,inf,747
37,-10.0,8.933568318008344,10.0,inf,0.6504863089215762,inf,False,inf,497.70977544784546,inf,770
38,-10.0,-10.0,10.0,inf,inf,inf,False,inf,513.9572579860687,0.0,793
39,-6.345003756851261,9.155700302533205,8.240672378473924,2.2610001595171734,0.005703076346437489,1.7272849817118185e-12,True,0.0,530.5162544250488,0.5046430714756233,820
40,-8.677541459561091,8.625032602901173,8.08307122861937,inf,1.1185058202443314,inf,False,inf,542.8735635280609,inf,839
41,-10.0,8.252847511666992,7.62671573170968,inf,inf,inf,False,inf,557.2902603149414,0.0,862
42,-9.477435060520094,9.130864467737963,6.770176791681809,inf,inf,inf,False,inf,571.6771259307861,0.0,885
43,-6.333375037889918,10.0,6.968461142432726,3.7729671757198213,0.03137365091233532,7.464040607807476e-09,True,0.0,587.7455205917358,5.083738167632397,912
44,-6.329473363862762,10.0,6.811457229951174,4.840762402055997,0.060575709404550704,3.349351429537961e-08,True,0.0,603.6553680896759,6.463468693564955,939
45,-6.288740693834722,10.0,6.699280780993777,4.879621336210251,0.07455712302094168,3.1403376121730275e-08,True,0.0,619.4741044044495,8.61351195047762,966
46,-6.264213106074677,10.0,6.655348013399464,4.881331408020391,0.07818861793874991,1.9800186379370643e-08,True,0.0,635.3494741916656,8.688480988511298,993
47,-6.254087717701506,9.99999959306911,6.640437079686264,4.880209593041328,0.07900206755433621,1.473171828969555e-08,True,0.0,651.2167353630066,8.707632062551063,1020
48,-6.252391181294226,10.0,6.637649312071077,4.8801461797395636,0.07920198517095989,1.3726908942857108e-08,True,0.0,668.876204252243,8.71170052345183,1051
49,-6.3634060841952715,9.841335786130712,6.881327407800338,4.828949044117813,0.050621046038440136,2.5446247442495462e-08,True,0.0,686.7913908958435,6.478229802527613,1082
50,-8.07636658078074,9.15387801971942,7.236594006483431,inf,2.227582254563001,inf,False,inf,704.4512584209442,inf,1113
51,-7.146675672795958,9.49666953940381,7.373101440121537,6.47125889561246,0.1413170810980195,-1.8871380018659067e-06,False,0.04131708109801949,722.5971324443817,13.029184019083877,1144
52,-7.461989555190833,10.0,5.503736421143549,inf,inf,inf,False,inf,742.3110163211823,0.0,1179
53,-7.5815586565635815,10.0,4.100441055331471,inf,inf,inf,False,inf,762.6205883026123,0.0,1214
54,-7.6056912055741455,10.0,3.4073876420965084,inf,inf,inf,False,inf,784.5036633014679,0.0,1253
55,-7.594901509807246,10.0,3.2530750623626536,inf,inf,inf,False,inf,806.1550045013428,0.0,1292
56,-7.589387550384618,10.0,3.2341592031075503,inf,inf,inf,False,inf,827.6346414089203,0.0,1331
57,-7.586045108147247,9.997149481081538,3.246461617916303,inf,inf,inf,False,inf,849.3369863033295,0.0,1370
58,-6.920061962964897,9.060386792411624,8.091702599279587,1.7016895836908146,0.004186614841348483,6.369089700086761e-10,True,0.0,863.9476964473724,3.193777475862051,1394
