h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0033466716337218426,0.0033736491884526613,-1.3498765245181267e-05,-0.00013498765245181267,-0.00013488777365409325
0.01,0.0033588286902143222,0.0033615251203167524,-1.3417087527016827e-06,-0.00013417087527016827,-0.0001348215051215091
0.001,0.003360036310590164,0.0033603059399339016,-1.340883768598082e-07,-0.0001340883768598082,-0.00013481467186875207
0.0001,0.0033601569909582764,0.003360183953756001,-1.3408008747543831e-08,-0.00013408008747543831,-0.00013481398862275756
1e-05,0.0033601690581766533,0.0033601717544551506,-1.3407903706567914e-09,-0.00013407903706567914,-0.000134813924867333
1e-06,0.0033601702648891844,0.0033601705345188988,-1.340778395426956e-10,-0.0001340778395426956,-0.00013481485719446518
1e-07,0.003360170385563658,0.003360170412524241,-1.3403366090625202e-11,-0.00013403366090625202,-0.00013480291535805655
1e-08,0.003360170397627738,0.003360170400320589,-1.339285887053121e-12,-0.0001339285887053121,-0.00013464255751993726
1e-09,0.0033601703988375814,0.0033601703991050446,-1.2944246369217538e-13,-0.00012944246369217538,-0.00013373156748652804
1e-10,0.0033601703989552395,0.0033601703989815054,-1.1784410253179445e-14,-0.00011784410253179445,-0.00013132940915316915
1e-11,0.003360170398966643,0.0033601703989678535,-3.8077180297690916e-16,-3.8077180297690916e-05,-6.0520165268140864e-05
1e-12,0.0033601703989665672,0.003360170398967029,-4.566659550508945e-16,-0.00045666595505089447,-0.00023093506273941244
1e-13,0.003360170398966911,0.0033601703989667975,-1.1275702593849246e-16,-0.0011275702593849246,0.0005681219383824043
1e-14,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-15,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-16,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-17,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-18,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-19,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-20,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-21,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-22,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
