h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0034868375089220967,0.003233294586363604,0.00012666710995507284,0.0012666710995507284,0.0012677146127924627
0.01,0.003372849792288607,0.003347488911297352,1.2679393321583018e-05,0.0012679393321583018,0.0012680440495627544
0.001,0.0033614384358406683,0.0033589023411581226,1.2680368736443445e-06,0.0012680368736443445,0.0012680473412728446
0.0001,0.0033602972036063405,0.003360043594130512,1.2680463931658004e-07,0.0012680463931658004,0.0012680473791414244
1e-05,0.0033601830794437655,0.0033601577184904532,1.268047674155004e-08,0.001268047674155004,0.0012680476656114908
1e-06,0.003360171667019639,0.0033601691309238023,1.2680526151678806e-09,0.0012680526151678806,0.0012680479184040694
1e-07,0.003360170525770509,0.0033601702721661394,1.2680348524668483e-10,0.0012680348524668483,0.0012680218485459915
1e-08,0.003360170411649025,0.0033601703862886152,1.268200128246022e-11,0.001268200128246022,0.0012680204976300846
1e-09,0.0033601704002392367,0.003360170397702152,1.2722128038544778e-12,0.0012722128038544778,0.0012685423458197453
1e-10,0.0033601703990965835,0.0033601703988431126,1.2955955752680381e-13,0.0012955955752680381,0.0012673542770791357
1e-11,0.0033601703989774496,0.003360170398956019,1.042568809062061e-14,0.001042568809062061,0.0010715386911108737
1e-12,0.003360170398967504,0.0033601703989663144,4.800847219765814e-16,0.00048008472197658136,0.0005947933118255477
1e-13,0.00336017039896714,0.0033601703989664545,1.1622647289044608e-16,0.0011622647289044608,0.003428247269399165
1e-14,0.0033601703989667984,0.00336017039896725,-2.255140518769849e-16,-0.022551405187698492,-0.022573089231148202
1e-15,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-16,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-17,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-18,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-19,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-20,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-21,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
1e-22,0.003360170398967024,0.003360170398967024,0.0,0.0,0.0
