h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0161015380014633,0.01632619461524687,-0.0001126091624821246,-0.001126091624821246,-0.0011232830689178464
0.01,0.01620291875702695,0.016225382908496955,-1.1228406918473155e-05,-0.0011228406918473155,-0.0011232075735001512
0.001,0.016213024648180863,0.01621527104973397,-1.1225157645622375e-06,-0.0011225157645622375,-0.0011232007765538121
0.0001,0.016214034915615794,0.016214259555642263,-1.1224832963119269e-07,-0.001122483296311927,-0.001123200132346902
1e-05,0.016214135939145446,0.01621415840314533,-1.1224799978393207e-08,-0.0011224799978393207,-0.0011231999941241355
1e-06,0.016214146041469535,0.016214148287863606,-1.1224758900141296e-09,-0.0011224758900141296,-0.0011231970353797749
1e-07,0.016214147051696104,0.016214147276336743,-1.1224932094933138e-10,-0.0011224932094933138,-0.0011232031971175616
1e-08,0.016214147152724068,0.016214147175184213,-1.1221357176793845e-11,-0.0011221357176793845,-0.0011230072427537152
1e-09,0.016214147162821657,0.016214147165069526,-1.1237677455255835e-12,-0.0011237677455255835,-0.0011239342789792772
1e-10,0.016214147163832293,0.016214147164055226,-1.1313172620930345e-13,-0.0011313172620930345,-0.0011146639167236572
1e-11,0.01621414716393299,0.01621414716395697,-1.2434497875801753e-14,-0.0012434497875801753,-0.001199040866595169
1e-12,0.01621414716394387,0.016214147163946868,-1.5543122344752192e-15,-0.0015543122344752192,-0.0014988010832439613
1e-13,0.016214147163945425,0.016214147163945203,0.0,0.0,0.0011102230246251565
1e-14,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-15,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-16,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-17,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-18,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-19,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-20,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-21,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-22,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
