h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.011185619478029318,0.02374723961334313,-0.0050285276859161065,-0.050285276859161065,-0.06280810067656906
0.01,0.015616025217135565,0.016836930603058464,-0.0005981219468098598,-0.059812194680985975,-0.061045269296144955
0.001,0.01615324329420398,0.016275298905780833,-6.090386974144657e-05,-0.06090386974144657,-0.06102780578842726
0.0001,0.016208045705248364,0.016220251231024996,-6.101458697060913e-06,-0.06101458697060913,-0.061027628883159046
1e-05,0.016213536907201287,0.01621475745973766,-6.102567441379492e-07,-0.06102567441379491,-0.061027626818699325
1e-06,0.016214086137163353,0.01621420819241537,-6.102678207220436e-08,-0.061026782072204355,-0.061027626008236524
1e-07,0.016214141061255183,0.016214153266782105,-6.1026902420380225e-09,-0.061026902420380225,-0.061027634612464965
1e-08,0.016214146553680253,0.016214147774227583,-6.102651717299068e-10,-0.06102651717299068,-0.06102736649360452
1e-09,0.016214147102915022,0.016214147224971054,-6.103040295357687e-11,-0.06103040295357686,-0.06102801597407392
1e-10,0.01621414715784375,0.016214147170047766,-6.101674721037398e-12,-0.06101674721037398,-0.061020077879447854
1e-11,0.016214147163332915,0.016214147164558157,-6.125100426856989e-13,-0.06125100426856989,-0.061262106498816145
1e-12,0.016214147163883363,0.01621414716400582,-6.206146707654625e-14,-0.06206146707654625,-0.06122879980807738
1e-13,0.01621414716393832,0.016214147163951975,-7.105427357601002e-15,-0.07105427357601002,-0.06827871601444713
1e-14,0.016214147163944315,0.01621414716394609,-1.1102230246251565e-15,-0.11102230246251565,-0.08881784197001252
1e-15,0.01621414716394498,0.016214147163945425,-4.440892098500626e-16,-0.44408920985006256,-0.22204460492503128
1e-16,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-17,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-18,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-19,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-20,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-21,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
1e-22,0.016214147163945425,0.016214147163945425,0.0,0.0,0.0
