SLSQPiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
0,0.5,0.5,-0.5,22.30716181362783,0.016132531283335357,0.15450522118723498,False,0.15350522118723497,0.48708367347717285,2.7671318598490733,0
1,0.5985225844185523,0.8001666831880083,-0.5179362520379499,21.23883712024189,0.008327398932046285,0.05902247869849342,False,0.05802247869849342,15.883150339126587,4.431785935753637,26
2,0.7008163851861071,1.1315703935105188,-0.5502107319323125,19.5324358039195,0.00402779305128714,0.022379152673069114,False,0.021379152673069113,28.359528303146362,5.96636565999314,45
3,0.8143842511190851,1.5059719787274477,-0.6020034246223607,17.269148807040654,0.0018281947629384743,0.008302033852962132,False,0.007302033852962132,40.58501577377319,6.3454370456770395,64
4,0.9435231327633661,1.9512642272027163,-0.680280730521203,14.766490768753009,0.0007581380013177255,0.002889548136531417,False,0.0018895481365314168,52.728158950805664,5.403316965893272,83
5,1.1104839117597327,2.5535726398125633,-0.8012628585475428,12.20772727254554,0.00025798451651384184,0.000831205209069763,True,0.0,65.04002833366394,3.8185116697237413,102
6,1.4274728569640283,3.7168323622368398,-1.042458486971118,9.275753331080505,4.533107520089389e-05,0.00011922978087020031,True,0.0,77.66515970230103,2.045339027780186,121
7,3.470086140908788,10.0,-2.620317872818565,4.959010508694446,0.094676852372059,7.042821708047597e-07,True,0.0,89.99828338623047,0.26215374065079666,140
8,3.4596664141134412,9.999963287764047,-2.629534933392431,4.957863585471255,0.09694307180371428,7.040372173028331e-07,True,0.0,102.2744665145874,0.25993891318461365,159
9,3.4445695278256663,10.0,-2.6409020373667245,4.9562549685553225,0.10002122663806198,7.031549461578024e-07,False,2.1226638061977443e-05,114.58431148529053,0.25685026136436706,178
10,3.442841136813847,9.999998526884069,-2.639220709819528,4.95622229489837,0.10000009268394247,7.023290620189471e-07,False,9.268394246531031e-08,127.14842104911804,0.25662294331441604,197
11,3.4338420690393874,10.0,-2.6313367239247762,4.956008488371351,0.10000040358873193,6.982488601758874e-07,False,4.0358873192036793e-07,139.93381118774414,0.25541482523760395,216
12,3.389821485339076,9.99998514594124,-2.592746837210605,4.955028488676366,0.09999970746718896,6.785775603646016e-07,True,0.0,152.26772713661194,0.24980779062109904,235
13,3.1906470547712553,9.999979180784846,-2.418120175028051,4.951764363154101,0.10001630478934136,5.95217408028148e-07,False,1.6304789341350934e-05,164.60423612594604,0.23132123239721566,254
14,1.880780496770949,10.0,-0.9874106949609067,4.864561733224387,0.06380392377568095,2.0406624023916464e-07,True,0.0,176.9467272758484,0.6114403087944936,273
15,-7.4208536060409855,9.975041197928697,9.634053069132007,3.14750347348411,0.027354950141319882,-6.422529175154068e-11,True,0.0,189.30821990966797,2.35444023459078,292
16,0.23379730885854855,9.999935824673699,1.074012976053579,4.1506864906516014,1.9427060006720364e-08,3.094202183362427e-08,True,0.0,201.50986766815186,0.4781352364597582,311
17,-6.6161521492222,10.0,8.50367128172918,2.269941287300187,0.0001932410135789531,-1.4921397450962104e-13,True,0.0,217.52001452445984,0.7259230931699189,338
18,-8.96727920827795,8.82904362932773,9.997459215285328,7.4091648256023195,0.1961288781609127,7.5211821698450976e-06,False,0.0961288781609127,229.7206792831421,7.196630628533384,357
19,-10.0,7.098989083833162,10.0,inf,2.752627544651527,inf,False,inf,244.05782175064087,0.0,380
20,-8.132479322898645,4.5213359979847585,7.286181974412843,inf,21.580276503961574,inf,False,inf,258.4410672187805,0.0,403
21,-7.944051168348898,9.999992664255185,9.281152299326346,3.4304491522812905,0.03084297602072745,1.5046878187874313e-09,True,0.0,274.4602208137512,4.040089616921594,430
22,-9.999999104821965,9.80001291353759,9.60495508558583,inf,1.5413612283615707,inf,False,inf,288.8017044067383,inf,453
