Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,M_h,SSe_h_abs,vmax,SSe_V_abs
0.04,0.01,2.0,0.6,0.249999,0.3,0.08,0.145873629550323,0.0029564161003605705,20.886046336668315,0.00033652133111772287
0.04,0.01,2.0,0.6,0.24999904081632654,0.3,0.08,0.14587363894551003,0.002956334041300579,20.886046335439755,0.0003365456326989147
0.04,0.01,2.0,0.6,0.24999908163265305,0.3,0.08,0.14587362923311903,0.002956415974537663,20.886046334211265,0.0003365213426569369
0.04,0.01,2.0,0.6,0.2499991224489796,0.3,0.08,0.14587362939538642,0.002956415919271649,20.8860463329828,0.000336521346266494
0.04,0.01,2.0,0.6,0.24999916326530613,0.3,0.08,0.1458736384697794,0.0029563338524667415,20.886046331754304,0.0003365456500219466
0.04,0.01,2.0,0.6,0.24999920408163265,0.3,0.08,0.1458736383111906,0.002956333789626342,20.886046330525815,0.00033654565582708074
0.04,0.01,2.0,0.6,0.2499992448979592,0.3,0.08,0.14587363815261664,0.00295633372674331,20.886046329297347,0.00033654566157181875
0.04,0.01,2.0,0.6,0.2499992857142857,0.3,0.08,0.14587363799401526,0.0029563336637892235,20.886046328068748,0.00033654566734142577
0.04,0.01,2.0,0.6,0.24999932653061224,0.3,0.08,0.1458736378354122,0.0029563336010483,20.886046326840283,0.00033654567310748007
0.04,0.01,2.0,0.6,0.24999936734693878,0.3,0.08,0.1458736281230166,0.0029564155340153775,20.886046325611755,0.0003365213830726077
0.04,0.01,2.0,0.6,0.2499994081632653,0.3,0.08,0.14587363751828972,0.0029563334749980186,20.886046324383305,0.00033654568466090495
0.04,0.01,2.0,0.6,0.24999944897959184,0.3,0.08,0.14587363735969358,0.00295633341217183,20.88604632315484,0.0003365456903878794
0.04,0.01,2.0,0.6,0.24999948979591838,0.3,0.08,0.14587363720110072,0.0029563333493172195,20.886046321926333,0.00033654569616459185
0.04,0.01,2.0,0.6,0.2499995306122449,0.3,0.08,0.14587362748868093,0.002956415282383773,20.88604632069786,0.0003365214061581412
0.04,0.01,2.0,0.6,0.24999957142857143,0.3,0.08,0.14587363688393457,0.0029563332233379924,20.886046319469283,0.0003365457077819656
0.04,0.01,2.0,0.6,0.24999961224489797,0.3,0.08,0.14587363672534026,0.002956333160483382,20.886046318240695,0.00033654571349117646
0.04,0.01,2.0,0.6,0.24999965306122449,0.3,0.08,0.14587363656675126,0.0029563330976571933,20.886046317012262,0.0003365457192181509
0.04,0.01,2.0,0.6,0.24999969387755103,0.3,0.08,0.14587362685431665,0.0029564150307663795,20.886046315783855,0.00033652142918683126
0.04,0.01,2.0,0.6,0.24999973469387754,0.3,0.08,0.1458736266956641,0.002956414968011245,20.88604631455525,0.00033652143492091113
0.04,0.01,2.0,0.6,0.24999977551020408,0.3,0.08,0.1458736265371135,0.0029564149048866284,20.88604631332682,0.0003365214407260453
0.04,0.01,2.0,0.6,0.24999981632653062,0.3,0.08,0.14587363593247182,0.0029563328458692695,20.886046312098383,0.0003365457423534224
0.04,0.01,2.0,0.6,0.24999985714285713,0.3,0.08,0.14587363577383428,0.0029563327831567676,20.88604631086984,0.0003365457480946077
0.04,0.01,2.0,0.6,0.24999989795918368,0.3,0.08,0.14587363561525685,0.002956332720216892,20.88604630964133,0.000336545753860662
0.04,0.01,2.0,0.6,0.24999993877551022,0.3,0.08,0.14587362590277336,0.002956414653269235,20.886046308412848,0.0003365214637689462
0.04,0.01,2.0,0.6,0.24999997959183673,0.3,0.08,0.14587363529809372,0.00295633259432293,20.886046307184376,0.00033654576543540315
