Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,M_h,SSe_h_abs,vmax,SSe_V_abs
0.04,0.009999000000000001,2.0,0.6,0.25,0.3,0.08,0.1458379437052627,0.0029583370935597486,20.88599042216499,0.0003361749636354716
0.04,0.009999040816326531,2.0,0.6,0.25,0.3,0.08,0.14583940008275023,0.002958258619671028,20.885992703097433,0.0003361891043809351
0.04,0.009999081632653062,2.0,0.6,0.25,0.3,0.08,0.14584085656195403,0.00295818014582494,20.885994984035342,0.0003362032454461428
0.04,0.009999122448979592,2.0,0.6,0.25,0.3,0.08,0.14584231304104733,0.0029581016727462384,20.885997264978627,0.0003362173865930629
0.04,0.009999163265306123,2.0,0.6,0.25,0.3,0.08,0.1458437695201311,0.0029580231994543738,20.885999545927323,0.0003362315280774908
0.04,0.009999204081632653,2.0,0.6,0.25,0.3,0.08,0.14584522599918195,0.002957944726574624,20.886001826881543,0.0003362456697360017
0.04,0.009999244897959184,2.0,0.6,0.25,0.3,0.08,0.14584668247809782,0.002957866254192254,20.88600410784101,0.0003362598115295157
0.04,0.009999285714285714,2.0,0.6,0.25,0.3,0.08,0.14584813895702736,0.0029577877819519927,20.886006388806003,0.0003362739535681669
0.04,0.009999326530612244,2.0,0.6,0.25,0.3,0.08,0.14584959543587983,0.002957709309939105,20.886008669776427,0.0003362880957986647
0.04,0.009999367346938775,2.0,0.6,0.25,0.3,0.08,0.1458510519146951,0.002957630837954639,20.886010950752176,0.0003363022383240377
0.04,0.009999408163265307,2.0,0.6,0.25,0.3,0.08,0.14585250839346423,0.0029575523665101855,20.886013231733443,0.000336316380945334
0.04,0.009999448979591838,2.0,0.6,0.25,0.3,0.08,0.14585396487218416,0.0029574738951367863,20.88601551272012,0.00033633052384018924
0.04,0.009999489795918368,2.0,0.6,0.25,0.3,0.08,0.14585542135082533,0.0029573954242039235,20.886017793712178,0.00033634466688070574
0.04,0.009999530612244898,2.0,0.6,0.25,0.3,0.08,0.14585687782942555,0.002957316953455802,20.88602007470966,0.00033635881012727964
0.04,0.009999571428571429,2.0,0.6,0.25,0.3,0.08,0.14585833430797931,0.0029572384830771625,20.88602235571258,0.00033637295358701635
0.04,0.00999961224489796,2.0,0.6,0.25,0.3,0.08,0.1458597907864642,0.0029571600127553666,20.886024636720872,0.0003363870973132066
0.04,0.00999965306122449,2.0,0.6,0.25,0.3,0.08,0.14586124726490318,0.0029570815428598962,20.88602691773459,0.00033640124116729453
0.04,0.00999969387755102,2.0,0.6,0.25,0.3,0.08,0.14586270374329108,0.002957003073163378,20.88602919875379,0.0003364153852416507
0.04,0.00999973469387755,2.0,0.6,0.25,0.3,0.08,0.1458641602216232,0.002956924603793709,20.88603147977832,0.00033642952950785343
0.04,0.009999775510204081,2.0,0.6,0.25,0.3,0.08,0.14586561664524178,0.0029568461343956187,20.886033760808285,0.0003364436740973531
0.04,0.009999816326530613,2.0,0.6,0.25,0.3,0.08,0.14586707283075045,0.0029567676656370168,20.886036041843717,0.0003364578188005396
0.04,0.009999857142857144,2.0,0.6,0.25,0.3,0.08,0.14586852901621275,0.002956689196949469,20.8860383228846,0.0003364719636849145
