Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,M_h,SSe_h_abs,vmax,SSe_V_abs
0.04,0.01,2.0,0.6,0.25,0.299999,0.08,0.1458737166499717,0.0029563075330401034,20.886048683450596,0.000336560327866664
0.04,0.01,2.0,0.6,0.25,0.2999990408163265,0.08,0.1458737037712592,0.0029563905514180533,20.886048586434736,0.00033653543734502023
0.04,0.01,2.0,0.6,0.25,0.29999908163265304,0.08,0.1458737004475947,0.0029563915728942902,20.886048489419053,0.00033653484318207916
0.04,0.01,2.0,0.6,0.25,0.2999991224489796,0.08,0.14587369712392875,0.002956392594569479,20.886048392403357,0.0003365342488628187
0.04,0.01,2.0,0.6,0.25,0.2999991632653061,0.08,0.14587369380020757,0.002956393616329933,20.88604829538763,0.00033653365452579465
0.04,0.01,2.0,0.6,0.25,0.29999920408163266,0.08,0.1458737000313581,0.002956312641188674,20.886048198371995,0.00033655735655457875
0.04,0.01,2.0,0.6,0.25,0.29999924489795915,0.08,0.14587368715285035,0.002956395659467148,20.886048101356256,0.0003365324661182001
0.04,0.01,2.0,0.6,0.25,0.2999992857142857,0.08,0.14587368382920088,0.0029563966809860176,20.88604800434073,0.0003365318718948629
0.04,0.01,2.0,0.6,0.25,0.29999932653061223,0.08,0.14587368050549937,0.0029563977027606825,20.886047907325075,0.00033653127753652257
0.04,0.01,2.0,0.6,0.25,0.2999993673469388,0.08,0.14587368673643766,0.0029563167278467972,20.886047810309503,0.0003365549794658307
0.04,0.01,2.0,0.6,0.25,0.2999994081632653,0.08,0.14587367385815617,0.0029563997459121083,20.886047713293873,0.00033653008908984816
0.04,0.01,2.0,0.6,0.25,0.2999994489795918,0.08,0.14587368008898946,0.002956318770984012,20.886047616278315,0.0003365537909196803
0.04,0.01,2.0,0.6,0.25,0.29999948979591834,0.08,0.14587367676527763,0.002956319792588147,20.886047519262743,0.00033655319660752525
0.04,0.01,2.0,0.6,0.25,0.2999995306122449,0.08,0.14587367344156663,0.002956320814135438,20.886047422247266,0.00033655260240905704
0.04,0.01,2.0,0.6,0.25,0.2999995714285714,0.08,0.14587366056343298,0.002956403832300225,20.886047325231758,0.00033652771204373266
0.04,0.01,2.0,0.6,0.25,0.29999961224489796,0.08,0.1458736667941092,0.0029563228576137135,20.88604722821621,0.0003365514138025105
0.04,0.01,2.0,0.6,0.25,0.2999996530612245,0.08,0.14587366347040454,0.002956323879118372,20.886047131200783,0.0003365508195543043
0.04,0.01,2.0,0.6,0.25,0.299999693877551,0.08,0.14587366014666706,0.0029563249009214587,20.886047034185395,0.00033655022523149114
0.04,0.01,2.0,0.6,0.25,0.29999973469387753,0.08,0.14587364726874677,0.002956407918588866,20.886046937169912,0.00033652533506867144
0.04,0.01,2.0,0.6,0.25,0.29999977551020407,0.08,0.1458736439450922,0.0029564089402640548,20.886046840154542,0.00033652474079559624
0.04,0.01,2.0,0.6,0.25,0.2999998163265306,0.08,0.14587365017551704,0.0029563279655633323,20.886046743139087,0.000336548442469109
0.04,0.01,2.0,0.6,0.25,0.29999985714285715,0.08,0.14587364685181253,0.002956328987153256,20.88604664612377,0.00033654784826353534
0.04,0.01,2.0,0.6,0.25,0.29999989795918364,0.08,0.1458736339740766,0.002956412004948561,20.886046549108453,0.00033652295802255594
0.04,0.01,2.0,0.6,0.25,0.2999999387755102,0.08,0.1458736402043828,0.002956331030389947,20.886046452093026,0.0003365466596996214
0.04,0.01,2.0,0.6,0.25,0.2999999795918367,0.08,0.1458736368806801,0.002956332051951449,20.88604635507777,0.0003365460654514152
0.04,0.01,2.0,0.6,0.25,0.30000002040816326,0.08,0.1458736240030689,0.0029564150696756997,20.88604625806246,0.00033652117530991177
0.04,0.01,2.0,0.6,0.25,0.3000000612244898,0.08,0.14587362067940138,0.0029564160911661475,20.88604616104722,0.00033652058109368
0.04,0.01,2.0,0.6,0.25,0.30000010204081634,0.08,0.14587361735570728,0.0029564171127276495,20.886046064031877,0.00033651998681349937
0.04,0.01,2.0,0.6,0.25,0.3000001428571428,0.08,0.14587361403204518,0.00295641813443126,20.886045967016738,0.00033651939253687146
0.04,0.01,2.0,0.6,0.25,0.30000018367346937,0.08,0.14587362026209663,0.002956337160085809,20.88604587000147,0.0003365430940753811
0.04,0.01,2.0,0.6,0.25,0.3000002244897959,0.08,0.14587360738471258,0.0029564201774405774,20.886045772986275,0.0003365182041576986
0.04,0.01,2.0,0.6,0.25,0.30000026530612245,0.08,0.14587361361466816,0.002956339203237235,20.886045675971097,0.0003365419055327834
0.04,0.01,2.0,0.6,0.25,0.300000306122449,0.08,0.14587361029100412,0.002956340224585574,20.886045578955972,0.00033654131137694776
0.04,0.01,2.0,0.6,0.25,0.3000003469387755,0.08,0.14587359741372155,0.002956423242196138,20.88604548194084,0.0003365164213740002
0.04,0.01,2.0,0.6,0.25,0.300000387755102,0.08,0.14587359409003817,0.0029564242638002725,20.88604538492565,0.00033651582711513583
0.04,0.01,2.0,0.6,0.25,0.30000042857142856,0.08,0.1458736003198841,0.002956343289412189,20.886045287910594,0.0003365395285150896
0.04,0.01,2.0,0.6,0.25,0.3000004693877551,0.08,0.1458735969961788,0.00295634431095948,20.886045190895526,0.00033653893428109427
